Index,O,N,B,S,P,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target
126.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.2,132.3
127.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.3,111.55
128.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.4,105.4
129.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.5,98.5
130.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,1.0,86.8
131.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,2.0,70.5
132.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,3.0,59.2
133.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,4.0,51.8
134.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.1,84.5
135.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.2,63.4
136.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.4,50.7
137.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.5,45.0
138.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,1.0,34.5
139.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,2.0,24.5
140.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,3.0,19.7
141.0,15.17,1.8,0.0,0.0,0.0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,4.0,17.0
142.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.2,153.0
143.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.5,125.0
144.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,1.0,110.0
145.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,2.0,98.0
