Index,O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target,Dopants
117.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.1,134.5,0
118.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.2,110.2,0
119.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.4,93.0,0
120.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.5,86.7,0
121.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,1.0,72.9,0
122.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,2.0,57.0,0
123.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,3.0,48.0,0
124.0,20.61,3.95,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,4.0,41.5,0
125.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.1,156.54,0
126.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.2,132.3,0
127.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.3,111.55,0
128.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.4,105.4,0
129.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.5,98.5,0
130.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,1.0,86.8,0
131.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,2.0,70.5,0
132.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,3.0,59.2,0
133.0,18.15,3.51,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,4.0,51.8,0
134.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.1,84.5,0
135.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.2,63.4,0
136.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.4,50.7,0
137.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.5,45.0,0
138.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,1.0,34.5,0
139.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,2.0,24.5,0
140.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,3.0,19.7,0
141.0,15.17,1.8,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2.0,1.8,4.0,17.0,0
142.0,11.92,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.2,153.0,0
143.0,11.92,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.5,125.0,0
144.0,11.92,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,1.0,110.0,0
145.0,11.92,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,2.0,98.0,0
146.0,11.92,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,5.0,84.0,0
147.0,11.92,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,10.0,75.0,0
148.0,5.5,2.53,947.0,0.54,1.0,0.855,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,117.9,0
149.0,5.5,2.53,947.0,0.54,1.0,0.855,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,71.0,0
150.0,3.67,0.0,1175.0,0.71,1.367,0.858,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,136.2,1
151.0,3.67,0.0,1175.0,0.71,1.367,0.858,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,75.9,1
152.0,10.41,2.37,899.0,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,165.9,1
153.0,10.41,2.37,899.0,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,110.9,1
177.0,9.64,3.44,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,119.9,0
