Index,O,N,B,S,P,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target
145.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,2.0,98.0
146.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,5.0,84.0
147.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,10.0,75.0
148.0,5.5,2.53,0.0,0.0,0.0,947.0,0.54,1.0,0.855,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,117.9
149.0,5.5,2.53,0.0,0.0,0.0,947.0,0.54,1.0,0.855,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,71.0
152.0,10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,165.9
153.0,10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,110.9
177.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,119.9
178.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,108.3
179.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,100.2
180.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,94.6
181.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,90.4
182.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,84.8
183.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,81.1
184.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,159.9
185.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,139.2
186.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,0.5,124.8
187.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,1.0,116.0
188.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,2.0,109.9
189.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,5.0,101.9
190.0,8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,20.0,94.0
191.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,114.2
192.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,104.8
193.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,95.6
194.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,90.0
195.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,86.8
196.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,82.4
197.0,5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,78.5
198.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,48.3
199.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,43.4
200.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,38.9
201.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,36.5
202.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,34.8
203.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,33.2
204.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,30.2
205.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,26.7
206.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,24.7
207.0,7.71,0.0,0.0,0.0,0.0,500.0,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,21.6
208.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,177.7
209.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,148.5
210.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,135.5
211.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,127.9
212.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,122.1
213.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,117.0
214.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,107.5
215.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,102.9
216.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,91.3
217.0,8.06,0.0,0.0,0.0,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,85.5
